title,creator,collection,objectid,filename,youtubeid,imagelink,publisher/publication,place,date,description,subject,,physical location,identifier,formatoriginal,type,format,language,rights,rightsstatement
Peace Building,Seth Kinzie,Josephy Library Video Collection,Peace-Building,,Fq2TJgcseu8,,,Josephy Library,2022-07-26,A presentation of his work in Africa building a peace database,tuesday talk,,YouTube Page,Peace-Building,Lecture Videos,video,video/mp4,eng,,
Advanced Directives,Keith and Janet Graham,Josephy Library Video Collection,Advanced-Directives,,Octvv_8oi0A,,,Josephy Library,2022-08-02,The importance of advanced directives ,tuesday talk,,YouTube Page,Advanced-Directives,Lecture Videos,video,video/mp4,eng,,
Nez Perce National Park,Ranger Vivian Henry,Josephy Library Video Collection,Nez-Perce-National-Park,,v0MzUObHLlc,,,Josephy Library,2022-08-09,Description of the park and its many sites,tuesday talk,,YouTube Page,Nez-Perce-National-Park,Lecture Videos,video,video/mp4,eng,,
Creating Jewelry Art,Dona Miller,Josephy Library Video Collection,Creating-Jewelry-Art,,PwQvmGd_Bbc,,,Josephy Library,2022-08-16,History of the use of metals and stones in creating art pieces,tuesday talk,,YouTube Page,Creating-Jewelry-Art,Lecture Videos,video,video/mp4,eng,,
International Day of Peace: Live Painting,Seth Kinzie,Josephy Library Video Collection,International-Day-of-Peace-Live-Painting,,cTARJghaGtE,,,Josephy Library,2022-09-21,"Seth Kinzie, our local Rotary Peace Fellow, has been studying and implementing an African Peacemaking Database over the last year. He will talk about his travels through Ethiopia, Somalia, and Malawi, while guiding us through a Peace Mapping visualization. Local painters Joan Gilbert (whose new exhibit, 55×55, goes live next month), and Kasiah Sword will be performing a live painting to visualize our peace practices throughout the lecture.",special event,,YouTube Page,International-Day-of-Peace-Live-Painting,Lecture Videos,video,video/mp4,eng,,
Stories of Wallowa Lake: Ellen Bishop and Rita Ehler,"Ellen Bishop, Rita Ehrler",Josephy Library Video Collection,Stories-of-Wallowa-Lake-Ellen-Bishop-and-Rita-Ehler,,3W1cYe8B4og,,,Josephy Library,2022-09-27,Join Ellen Bishop and Rita Ehler in a conversation about their new book of old local history at the lake.,tuesday talk,,YouTube Page,Stories-of-Wallowa-Lake-Ellen-Bishop-and-Rita-Ehler,Lecture Videos,video,video/mp4,eng,,
Medicare and Medicare Supplemental Insurance Programs,Kathleen Bennett,Josephy Library Video Collection,Medicare-and-Medicare-Supplemental-Insurance-Programs,,eW6HYra4y3g,,,Josephy Library,2022-10-11,"Kathleen Bennett, who has worked in the healthcare field and then in health insurance in Wallowa County for over 20 years, will be our tuesday talk presenter on Tuesday, October 11.",tuesday talk,,YouTube Page,Medicare-and-Medicare-Supplemental-Insurance-Programs,Lecture Videos,video,video/mp4,eng,,
Art of Multi-Media Collage,"Kristy Athens, Janis Carper",Josephy Library Video Collection,Art-of-Multi-Media-Collage,,W97yxx4MaSc,,,Josephy Library,2022-10-18,"Kristy Athens and Janis Carper discuss the art of multi-media collage: their techniques, and their approaches and goals for their work",tuesday talk,,YouTube Page,Art-of-Multi-Media-Collage,Lecture Videos,video,video/mp4,eng,,
Book Group: The Forest Lover,Rich Wandschneider,Josephy Library Video Collection,Book-Group-The-Forest-Lover,,plkNegseu-Y,,,Josephy Library,2022-11-10,"Join us for a conversation about The Artist's Journey, as we discuss the book ""The Forest Lover"" by Susan Vreeland, selected by Joan Gilbert.",special event,,YouTube Page,Book-Group-The-Forest-Lover,Lecture Videos,video,video/mp4,eng,,
A Child's Christmas in Wales,Rich Wandschneider,Josephy Library Video Collection,A-Child-s-Christmas-in-Wales,,3BneRj9AOd8,,,Josephy Library,2022-12-20,"Listen to Christmas! Rich Wandschneider reads Dylan Thomas' prose nostalgia vignette ""A Child's Christmas in Wales"" (1959), accompanied by our local semi-Welsh Seth Kinzie on piano.",special event,,YouTube Page,A-Child-s-Christmas-in-Wales,Music videos,video,video/mp4,eng,,
Automated External Defibulators (AEDs),Dick Burch,Josephy Library Video Collection,Automated-External-Defibulators-AEDs-,,dIk_98EHumI,,,Josephy Library,2023-02-07,"Learn about the presence of Automated External Defibulators (AEDs) in the County, and Dick's mission to keep them ready and plentiful.",tuesday talk,,YouTube Page,Automated-External-Defibulators-AEDs-,Lecture Videos,video,video/mp4,eng,,
Working Homes,"Nils Christoffersen, Nels Gabbert",Josephy Library Video Collection,Working-Homes,,p5_IGtp6XLM,,,Josephy Library,2023-03-28,"Join Nils Christoffersen and Nels Gabbert learning about the new subsidiary organization called “Working Homes. ""We all know that housing is tight, and we’ve all heard employers, from restaurants to the medical offices, talk about the lack of suitable, affordable, housing. Wallowa Resources has launched a new entity to acquire land and to design, develop, own and manage existing and new housing.",tuesday talk,,YouTube Page,Working-Homes,Lecture Videos,video,video/mp4,eng,,
Mike Lawrence Artist Talk,Mike Lawrence,Josephy Library Video Collection,Mike-Lawrence-Artist-Talk,,MBLCxzHRgk0,,,Josephy Library,2023-05-16,"Mike is an author-illustrator of fiction and nonfiction graphic novels, including the Star Scouts series for First Second. He has also illustrated a middle grade novel. In addition to making comics, Mike has created several pieces of public art for his hometown of Portland, Oregon. When he’s not hard at work on a new book project, he’s playing D&D with his kids and listening to their nonstop stream of book pitches.",tuesday talk,,YouTube Page,Mike-Lawrence-Artist-Talk,Lecture Videos,video,video/mp4,eng,,
Snake River Dams,Shannon Wheeler,Josephy Library Video Collection,Snake-River-Dams,,86bJ6uJAohk,,,Josephy Library,2023-05-18,"Join Shannon Wheeler, newly elected Chair, Nez Perce Tribe, and Kyle Smith, Snake River Director for American Rivers for a presentation at the Josephy Center about the Snake River Dams. Conversations around restoring the lower Snake River have been gaining momentum in recent months. Rep. Mike Simpson (R-ID), Washington Senator Patty Murray, Washington Governor Jay Inslee, the American Fisheries Society, and President Biden and the National Oceanic and Atmospheric Administration have all suggested that removing the lower four Snake River dams could be part of a comprehensive plan to save Snake River salmon and steelhead. But the conversation is a controversial one---Would breaching the dams ensure fish populations recover? How long would it take for the dams to be breached? What would happen to the industries and communities that rely on the energy, transportation, and irrigation services the dams provide? What would dam removal mean for northeast Oregon? A live presentation at the Josephy Center for Arts and Culture.",special event,,YouTube Page,Snake-River-Dams,Lecture Videos,video,video/mp4,eng,,
Adele Buttolph Namibia Artist Talk, Adele Buttolph,Josephy Library Video Collection,Adele-Buttolph-Namibia-Artist-Talk,,XBLftwiQW74,,,Josephy Library,2023-07-19,Join us for an in person photo presentation by Adele Buttolph.,tuesday talk,,YouTube Page,Adele-Buttolph-Namibia-Artist-Talk,Lecture Videos,video,video/mp4,eng,,
Crystal Newton Artist Talk,Crystal Newton,Josephy Library Video Collection,Crystal-Newton-Artist-Talk,,0VlOl9Y4wGk,,,Josephy Library,2023-08-15,On her Watercolor technique,tuesday talk,,YouTube Page,Crystal-Newton-Artist-Talk,Lecture Videos,video,video/mp4,eng,,
Wallowa County Museum,Jude Graham,Josephy Library Video Collection,Wallowa-County-Museum,,nAPETP5v5dA,,,Josephy Library,2023-08-29,"Jude Graham, Director of the Wallowa County Museum, will talk about Museum collections and operations, new exhibit items and more information on long-held items that she is developing. Jude grew up in Wallowa County, and raised her children here.",tuesday talk,,YouTube Page,Wallowa-County-Museum,Lecture Videos,video,video/mp4,eng,,
"Dan Grigg, new CEO of WVFH",Dan Grigg,Josephy Library Video Collection,Dan-Grigg-new-CEO-of-WVFH,,7xm4Z41spfU,,,Josephy Library,2023-10-24,"The next Tuesday Talk at the Josephy Center will be Dan Grigg, who has recently taken over as CEO of Wallowa Memorial Hospital. Grigg comes from several years leading rural hospitals in Heppner and Burns, but before that gained health care administrative experience in a 14-year stint at Trinity Health in Fresno, California, and eight years at Salem Hospital. In Salem he concentrated on patient safety and developing hospital clinics.",tuesday talk,,YouTube Page,Dan-Grigg-new-CEO-of-WVFH,Lecture Videos,video,video/mp4,eng,,
Beaver in the County,Ian Wilson,Josephy Library Video Collection,Beaver-in-the-County,,byzktoVYUzY,,,Josephy Library,2024-01-16,"Fish biologist Ian Wilson has a long interest in stream and habitat restoration, and a growing interest in the role of the humble beaver in shaping and managing ecosystems. The Wallowa Valley, like most of North America before the plundering of beaver for European hats, was a series of beaver ponds, marshes, and playas. It is estimated that there were over 300 million North American beaver before the trapping frenzy.",tuesday talk,,YouTube Page,Beaver-in-the-County,Lecture Videos,video,video/mp4,eng,,
Antarctica,Nora Hawkins,Josephy Library Video Collection,Antarctica,,ndzN-kGTJrs,,,Josephy Library,2024-03-05,Nora Hawkins will talk about her adventures in Antarctica,tuesday talk,,YouTube Page,Antarctica,Lecture Videos,video,video/mp4,eng,,
Whitewater Rafting,Robin Pace,Josephy Library Video Collection,Whitewater-Rafting,,u7RjGSpvytA,,,Josephy Library,2024-03-19,Robin Pace tells us about her adventures as a white water rafting professional!,tuesday talk,,YouTube Page,Whitewater-Rafting,Lecture Videos,video,video/mp4,eng,,
