title,creator,collection,objectid,filename,youtubeid,imagelink,publisher/publication,place,date,description,subject,,physical location,identifier,formatoriginal,type,format,language,rights,rightsstatement
Reply to Dr. Haines,"Alvin Josephy, Jr.",Nez Perce Ephemera Box,Reply-to-Dr-Haines,https://library.josephy.org/wp-content/uploads/2024/04/Reply-to-Haines-Josephy.pdf,,,The Westerners New York Posse Brand Book,,1968,"Alvin Josephy's rebuttal to Francis Haines' article in the same Journal, where he contnues to question the validity of the Appaloosa as a horse bred and favored by the Nez Perce.",Horses; Chief Joseph; Lewis and Clark; Charlie Russell; Joaquin Miller.,,Nez Perce File Drawers 1-3,Reply-to-Dr-Haines,Nez Perce Ephemera,record,listing,eng,,
It’s Never Too Late to Give Away a Horse,David Michael Liberty,Nez Perce Ephemera Box,It-s-Never-Too-Late-to-Give-Away-a-Horse,,,,Oregon Historical Quarterly,,2004,"The story of the long-delayed gift of a horse from the Erskine Wood family to Soy Redthunder, relative of Chief Joseph in Nespelem.",Horses; Chief Joseph; Soy Redthunder; C.E.S. Wood; Erskine Wood; N. Scott Momaday; Mary Wood,,Nez Perce File Drawers 1-3,It-s-Never-Too-Late-to-Give-Away-a-Horse,Nez Perce Ephemera,record,listing,eng,,
The Gift,Mary Christina Wood,Nez Perce Ephemera Box,The-Gift,,,,,,3/28/1997,The story of Chief Joseph's request for a good stallion upon being asked by CES Wood's son what he would like in exchange for letting him stay twice with Chief Joseph on the Colville Reservation.,Horses; Chief Joseph; C.E.S Wood; Erskine Wood; Mary Wood; Soy Redthunder,,Nez Perce File Drawers 1-3,The-Gift,Nez Perce Ephemera,record,listing,eng,,
Family Takes Gift to Heart,Karen McCowan,Nez Perce Ephemera Box,Family-Takes-Gift-to-Heart,,,,,,11/6/1997,,Horses; Young chief Joseph; Soy Redthunder. C.E.S. Wood; Erskine Wood; N. Scott Momaday; Horace Axtell,,Nez Perce File Drawers 1-3,Family-Takes-Gift-to-Heart,Nez Perce Ephemera,record,listing,eng,,
Handwritten notes of Charlie Moses from his language session with Haruo Aoki.,Charlie Moses,Nez Perce Ephemera Box,Handwritten-notes-of-Charlie-Moses-from-his-language-session-with-Haruo-Aoki-,,,,,,,"Several pages of handwritten notes taken by Charlie Moses, as he worked with Haruo Aoki, who developed the Nez Perce dictionary.",Nez Perce Language,,Nez Perce File Drawers 1-3,Handwritten-notes-of-Charlie-Moses-from-his-language-session-with-Haruo-Aoki-,Nez Perce Ephemera,record,listing,eng,,
Chief Joseph's Songs,Barbara Gale Thomas,Nez Perce Ephemera Box,Chief-Joseph-s-Songs,,,,,,5/3/1990,English words of 7 songs atributed to Chief Joseph. Unknown if this is a translation from Nez Perce language or songs written by a non-Indian English-speaker.,Language; Old Chief Joseph; Ollokot; Chief Joseph; Missionaries; buffalo; Smohalla; treaties; War of 1877,,Nez Perce File Drawers 1-3,Chief-Joseph-s-Songs,Nez Perce Ephemera,record,listing,eng,,
Gospel Hymns in the Nez Perce Language,Levi Jonas and Juliette Axtell,Nez Perce Ephemera Box,Gospel-Hymns-in-the-Nez-Perce-Language,,,,Washington State University.,,1897,30 hymns in Nez Perce language.,Nez Perce Language,,Nez Perce File Drawers 1-3,Gospel-Hymns-in-the-Nez-Perce-Language,Nez Perce Ephemera,record,listing,eng,,
Nez Perce Stories,Elizabeth Wilson.,Nez Perce Ephemera Box,Nez-Perce-Stories,,,,,,2008,"An 11-track CD of Nez Perce songs and stories, introduced in English and then sung or narrated in Nez Perce. From Nez Perce Cultural Camp, July 29-31 and August 5-7, 2008.",Stories,,Nez Perce File Drawers 1-3,Nez-Perce-Stories,Nez Perce Ephemera,record,listing,eng,,
"Ancient Language, Modern World",Chelsea Embree,Nez Perce Ephemera Box,Ancient-Language-Modern-World,,,,The Lewiston Tribune.,,,"Language program specialists on the Lapwai reservation develop an app with more than 1000 words and phrases in the Nez Perce language, Nimipuutimt.",Nez Perce Language,,Nez Perce File Drawers 1-3,Ancient-Language-Modern-World,Nez Perce Ephemera,record,listing,eng,,
Nez Perce Language (Nimipuutimt) CDs and text in Nimipuutimt and English,Angel Sobotta and Vera Sonneck,Nez Perce Ephemera Box,Nez-Perce-Language-Nimipuutimt-CDs-and-text-in-Nimipuutimt-and-English,,,,,,,"CDs and text: Vol. 1, April 30,2002; Vol. 2, June 25, 2002 MISSING; Vol. 3, July 28, 2003; Vol. 4, July 24, 2004; Vol. 5, April 25, 2007; Vol. 6 (children’s songs), July/August 2008; Vol. 8, 2011; Vol. 9, August 2nd & 3rd, 2012. Also, CDs: Volumes. 1-6, and 8-9",Nez Perce Language,,Nez Perce File Drawers 1-3,Nez-Perce-Language-Nimipuutimt-CDs-and-text-in-Nimipuutimt-and-English,Nez Perce Ephemera,record,listing,eng,,
Iin Timiip Nisa’ (I Remember): Dedicated to Lapwai's past and the stories lost to us,"Sixth Grade class at Lapwai, with advisors Barbara Bowen and Dan Wilson",Nez Perce Ephemera Box,Iin-Timiip-Nisa-I-Remember-Dedicated-to-Lapwai-s-past-and-the-stories-lost-to-us,,,,,,1987,14 Stories from elders on the reservation about their lives and their ancestors.,Hunting; Nez Percians; TB,,Nez Perce File Drawers 1-3,Iin-Timiip-Nisa-I-Remember-Dedicated-to-Lapwai-s-past-and-the-stories-lost-to-us,Nez Perce Ephemera,record,listing,eng,,
Nez Perce Sketches,Grace Bartlett,Nez Perce Ephemera Box,Nez-Perce-Sketches,,,,,,,"Stories gleaned from Grace Bartlett's conversations with her Nez Perce husband, Harry, about his relationships with other elderly Nez Perce people - ""the old ones."" 1970s.  ",Lapwai; Dawes Act; Legends; Missionaries; Nez Perce War; Alice Fletcher; Intra-tribal conflicts; fish; horses; allotment; Cultural Practices; Yellow Wolf; Jackson Sundown; Dreamer Religion; Language; William Cusick; Louis Henderson; Lapwai; Harry Bartlett; Joe Amera; bead work; Lewis and Clark; Allotment; Hoos-sis-cap-sis; Bill Reynols; Nat White; horse painting; games; Woo-lotts; Dances; Rodeos; Races; John Lowry; gambling; Joe Kentuck; Names; Sam and George Williams; Joe Green (Mouse); herbal cures; Felix Lowry; Bill Jonas; Jimmy Grant; Mox Mox; Camille Willams (Ee-Tuk-Tsaim); Annie Lawrence; gold; A. C. Smith; A. D. Chapman; Stote-ki-yi (Long Hair); Wolf Head; Coyote Wolf; Coyote Story; Chief Joseph.,,Nez Perce File Drawers 1-3,Nez-Perce-Sketches,Nez Perce Ephemera,record,listing,eng,,
Reminiscences of a Historian,Clifford Drury,Nez Perce Ephemera Box,Reminiscences-of-a-Historian,,,,,,,A short history of Clifford Drury's work to collect information from primary sources for his biographies of the lives of Revernds Henry Spalding and Marcus Whitman and their wives.,Missionaries; Spalding; Whitman; Spokane Garry; treaties; Old Chief Joseph; Chief Lawyer; Kootenay Pelly; Elkanah and Mary Walker,,Nez Perce File Drawers 1-3,Reminiscences-of-a-Historian,Nez Perce Ephemera,record,listing,eng,,
Book Will Take Unique Look at Whitman Massacre,Neita Cecil,Nez Perce Ephemera Box,Book-Will-Take-Unique-Look-at-Whitman-Massacre,,,,The Dalles Daily Mail,,,"Clifford Allen, a Nez Perce member,talks about writing a book on the Whitman Massacre,using over20 detailed visioions he had.",Disease; Missionaries. Whitman; Cayuse,,Nez Perce File Drawers 1-3,Book-Will-Take-Unique-Look-at-Whitman-Massacre,Nez Perce Ephemera,record,listing,eng,,
The Hunt for Oregon Missionary Sources: Clifford M. Drury’s Enduring Archives Legacy,Trevor Bond,Nez Perce Ephemera Box,The-Hunt-for-Oregon-Missionary-Sources-Clifford-M-Drury-s-Enduring-Archives-Legacy,,,,"Oregon Historic Quarterly, Vol. 114, No. 1; Spring 2014, PP: 38-63.",,2014,"A brief history of Clifford Drury and his industrious search for and collection of materials on the two Prebyterian pastors, Spalding and Whitman, especially between 1934 and 1939.",Missionaries; Whitman; Spalding; Willia Gray; Elkanah and Mary Walker; Cushing and Myra Eells; Asa and Sarah Smith; William and Sarah Gray; Cornelius Rogers; E. O. Holland; Washington State College;,,Nez Perce File Drawers 1-3,The-Hunt-for-Oregon-Missionary-Sources-Clifford-M-Drury-s-Enduring-Archives-Legacy,Nez Perce Ephemera,record,listing,eng,,
"Notes and Suggestions, Oregon Indians in the Red River School",Clifford Drury,Nez Perce Ephemera Box,Notes-and-Suggestions-Oregon-Indians-in-the-Red-River-School,,,,"Pacific Historical Revie , Vol. 7, No. 1. Pp 50-60. University of California Press.",,,A brief treatise on the question of why 4 Oregon Indians trraveled to St. Louis in 1831 to obtain information on White man's religion.,Missionaries; Spalding; Whitman; Spokane Garry; Spokane Tribe; Kootenay Pelly,,Nez Perce File Drawers 1-3,Notes-and-Suggestions-Oregon-Indians-in-the-Red-River-School,Nez Perce Ephemera,record,listing,eng,,
Presbyterian Yesterdays in Northern Idaho,Paul Hovey,Nez Perce Ephemera Box,Presbyterian-Yesterdays-in-Northern-Idaho,,,,,,,A 1963 address relating the history of the Presbyterian Church in Idaho,Missionaries; Lewis and Clark; Whitman; Spalding; Yakima Tribe; David Thompson; Donald Mckenzie; Samuel Parker;,,Nez Perce File Drawers 1-3,Presbyterian-Yesterdays-in-Northern-Idaho,Nez Perce Ephemera,record,listing,eng,,
Maps of the Nez Perce National Historic Trail,,Nez Perce Ephemera Box,Maps-of-the-Nez-Perce-National-Historic-Trail,,,,USDA Forest Service and US Department of Agriciulture,,,3 Different maps of the Nez Perce Hisoric Trails,Nez Perce War,,Nez Perce File Drawers 1-3,Maps-of-the-Nez-Perce-National-Historic-Trail,Nez Perce Ephemera,record,listing,eng,,
"General Management Plan, Nez Perce National Historic Park and Big Hole National Battlefield",,Nez Perce Ephemera Box,General-Management-Plan-Nez-Perce-National-Historic-Park-and-Big-Hole-National-Battlefield,,,,United States Department of Interior,,1997,"A comprehensive plan to guide resource management and park administration for 15-20 years. Includes the park's purpose, significance, and desirable future. There is specific information on the managment of each site in this far-flung park spread out over at least 4 states.",Nez Perce War; Lewis and Clark; Missionaries; William Craig; Chief Jospeh; Old Chief Joseph;,,Nez Perce File Drawers 1-3,General-Management-Plan-Nez-Perce-National-Historic-Park-and-Big-Hole-National-Battlefield,Nez Perce Ephemera,record,listing,eng,,
Nez Perce National Historic Trail Comprehensive Plan (Draft),,Nez Perce Ephemera Box,Nez-Perce-National-Historic-Trail-Comprehensive-Plan-Draft-,,,,USDA Forest Service and US Department of Interior Park Service,,,"History of the trail, its legislative history, description of the route, and its management entities.",Nez Perce War,,Nez Perce File Drawers 1-3,Nez-Perce-National-Historic-Trail-Comprehensive-Plan-Draft-,Nez Perce Ephemera,record,listing,eng,,
Application to add sites to the Nez Perce National Park,,Nez Perce Ephemera Box,Application-to-add-sites-to-the-Nez-Perce-National-Park,,,,,,,"An undated, unsigned application to the National Registrar of Historic Places to add trail routes, battlegrounds, forts, camps, and reservation settlement sites to the Nez Perce National Park.",Nez Perce War; Chief Joseph; natural resources,,Nez Perce File Drawers 1-3,Application-to-add-sites-to-the-Nez-Perce-National-Park,Nez Perce Ephemera,record,listing,eng,,
Summer 2003 Progress Report; and an undated memo from the Nez Perce Foudation Chair of 1998-1999,,Nez Perce Ephemera Box,Summer-2003-Progress-Report-and-an-undated-memo-from-the-Nez-Perce-Foudation-Chair-of-1998-1999,,,,USDA & Nez Perce National Historic Trail Foundation,,1998,"Two newsletters that document recommendations for the Trail, the cost-share agreement between the Nez Perce Natinal Historic Trail Foundation and the USDA Forest Service, and updates on the Trail; 1998- 2003",Nez Perce Trail,,Nez Perce File Drawers 1-3,Summer-2003-Progress-Report-and-an-undated-memo-from-the-Nez-Perce-Foudation-Chair-of-1998-1999,Nez Perce Ephemera,record,listing,eng,,
"Lolo Trail and Prtals Resource Protection, Decision Notice, and Finding of No significant Impact",,Nez Perce Ephemera Box,Lolo-Trail-and-Prtals-Resource-Protection-Decision-Notice-and-Finding-of-No-significant-Impact,,,,USDA Forest Service,,2004,A finding of no significance in the decisions to develop facilities and add travel restrictions to the Lolo Trail (Road 500).,Nez Perce Trail,,Nez Perce File Drawers 1-3,Lolo-Trail-and-Prtals-Resource-Protection-Decision-Notice-and-Finding-of-No-significant-Impact,Nez Perce Ephemera,record,listing,eng,,
Know Where Chief Joseph is Buried?,Phoebe Condon,Nez Perce Ephemera Box,Know-Where-Chief-Joseph-is-Buried-,,,,Oregon Journal,,,"A brief history of the Nez Perce War, the burial of Chief Joseph in Nespelem, and the pronounciation of Nez Perce and Nespelem.",Chief Joseph; Nespelem; Colville; Nez Perce War,,Nez Perce File Drawers 1-3,Know-Where-Chief-Joseph-is-Buried-,Nez Perce Ephemera,record,listing,eng,,
Census of the Joseph Band of Nez Perce,Hal J. Cole,Nez Perce Ephemera Box,Census-of-the-Joseph-Band-of-Nez-Perce,,,,,,6/30/1892,Nez Perce Census at Colville in 1892.,Nespelem; Colville,,Nez Perce File Drawers 1-3,Census-of-the-Joseph-Band-of-Nez-Perce,Nez Perce Ephemera,record,listing,eng,,
Members of Confederated Tribes of the Colville Reservation of Nez Perce Descent,,Nez Perce Ephemera Box,Members-of-Confederated-Tribes-of-the-Colville-Reservation-of-Nez-Perce-Descent,,,,,,1/1/1950,Nez Perce Census at Colville in 1950..,Nespelem; Colville,,Nez Perce File Drawers 1-3,Members-of-Confederated-Tribes-of-the-Colville-Reservation-of-Nez-Perce-Descent,Nez Perce Ephemera,record,listing,eng,,
In the Hands of Our Creator,,Nez Perce Ephemera Box,In-the-Hands-of-Our-Creator,,,,,,5/23/1995,The passing and burial of Joe Redthunder. Includes a statement by Joe Redthunder.,Nespelem; Colville; Joe Redthunder,,Nez Perce File Drawers 1-3,In-the-Hands-of-Our-Creator,Nez Perce Ephemera,record,listing,eng,,
Colville - Chief Joseph Band Meeting,"Allen P. Slickpoo, Sr.",Nez Perce Ephemera Box,Colville-Chief-Joseph-Band-Meeting,,,,,,9/26/1994,"A memo laying out the division between the Christian and non-Christian Nez Perce, created by White men which led to the ""steal treaty"" of 1863.",Chief Joseph; Nez Perce War; Exile; Treaty of 1863,,Nez Perce File Drawers 1-3,Colville-Chief-Joseph-Band-Meeting,Nez Perce Ephemera,record,listing,eng,,
A Study of the Nez Perce Diet,Alltrina Wishart,Nez Perce Ephemera Box,A-Study-of-the-Nez-Perce-Diet,,,,Luna House Museum Series,,4/22/1979,"A paper describing the roles of men and women in collecting food for families and tribes, the importance of fish, the types of vegetal foods harvested and the hunting of game in the nomadic tribe.",Camas; Salmon; Lewis and Clark; kouse,,Nez Perce File Drawers 1-3,A-Study-of-the-Nez-Perce-Diet,Nez Perce Ephemera,record,listing,eng,,
Nez Perce Indians: the Nez Perce Tribe of Idaho,,Nez Perce Ephemera Box,Nez-Perce-Indians-the-Nez-Perce-Tribe-of-Idaho,,,,,,,"A one page sketch of Nez Perce history, followed by photos of Nez Perce Tribal Members.",Lewis and Clark; Severalty Act; Nez Perces,,Nez Perce File Drawers 1-3,Nez-Perce-Indians-the-Nez-Perce-Tribe-of-Idaho,Nez Perce Ephemera,record,listing,eng,,
Retold In the Hills,,Nez Perce Ephemera Box,Retold-In-the-Hills,,,,,,1990,"A pamphlet about the first Hollywood film made in Idaho, with Nez Perce actors.",Pinkham Family; Moses Family; Kooskia;,,Nez Perce File Drawers 1-3,Retold-In-the-Hills,Nez Perce Ephemera,record,listing,eng,,
Land Returned to Nez Perce,Kathleen Ellyn,Nez Perce Ephemera Box,Land-Returned-to-Nez-Perce,,,,Wallowa County Chieftain,,8/1/2018,Two news articles and the official program of the event that returned a small piece of land to the Nez Perce tribe from the Methodist Church.,Land back; United Methodist Church; Thomas Jefferson;,,Nez Perce File Drawers 1-3,Land-Returned-to-Nez-Perce,Nez Perce Ephemera,record,listing,eng,,
Nez Perce Art in the Wallowas,,Nez Perce Ephemera Box,Nez-Perce-Art-in-the-Wallowas,,,,,,9/25/1999,"Schedule of events and ticket request for the third Annual Art of Nez Perce, Josephy Center for Arts and Culture, Joseph, OR.",Art,,Nez Perce File Drawers 1-3,Nez-Perce-Art-in-the-Wallowas,Nez Perce Ephemera,record,listing,eng,,
Josephy Library Teaching Box List Related to Nez Perce,Rich Wandschneider,Nez Perce Ephemera Box,Josephy-Library-Teaching-Box-List-Related-to-Nez-Perce,,,,,,,A one-page list of items put together for the use of teachers and tribes to teach Nez Perce History.,Wallowa County; Lewis and Clark; treaties; Chief Joseph; Sacagawea; Nez Perce War,,Nez Perce File Drawers 1-3,Josephy-Library-Teaching-Box-List-Related-to-Nez-Perce,Nez Perce Ephemera,record,listing,eng,,
"An Ethnohistoric Assessment of Nez Perce Relationships with the Marr Ranch Property, Wallowa Lake, and the Wallowa Country",Alan Marshall,Nez Perce Ephemera Box,An-Ethnohistoric-Assessment-of-Nez-Perce-Relationships-with-the-Marr-Ranch-Property-Wallowa-Lake-and-the-Wallowa-Country,,,,The Nez Perce Tribe Office of Legal Counsel,,9/15/2006,"An interim report to the Nez Perce Tribe on the significance to the Tribe of the Marr Ranch Property at Wallowa Lake, near the burial ground of Old Chief Joseph and other tribal members, given the interest of the owner in commercially developing this land.",Old Chief Joseph; Social Organization; indian-white relationships; Nez Perce War; Nez Perce Homeland; Cultural Practices; Missionaries; Treaties; Fish;,,Nez Perce File Drawers 1-3,An-Ethnohistoric-Assessment-of-Nez-Perce-Relationships-with-the-Marr-Ranch-Property-Wallowa-Lake-and-the-Wallowa-Country,Nez Perce Ephemera,record,listing,eng,,
In Oregon with the Chief of the Nez Percé Indians and his wife (Souvenir Issue),,Nez Perce Ephemera Box,In-Oregon-with-the-Chief-of-the-Nez-Perc-Indians-and-his-wife-Souvenir-Issue-,,,,,,,A photograph of John and Jackie Kennedy and the Chief of the Nez Perce and his wife.,Souvenir Magazine Issue of Jacqueline Kennedy,,Nez Perce File Drawers 1-3,In-Oregon-with-the-Chief-of-the-Nez-Perc-Indians-and-his-wife-Souvenir-Issue-,Nez Perce Ephemera,record,listing,eng,,
Nez Perce Conservation Project Receives Funds,,Nez Perce Ephemera Box,Nez-Perce-Conservation-Project-Receives-Funds,,,,Wallowa County Chieftain,,10/24/2018,An article about a grant provided to the Nez Perce Tribe to help acquire 10 acres of Wallowa Lake shore line to prevent development and help re-establish Salmon.,Wallowa Lake,,Nez Perce File Drawers 1-3,Nez-Perce-Conservation-Project-Receives-Funds,Nez Perce Ephemera,record,listing,eng,,
Nez Pece Timeline from before 1700 to 1956,,Nez Perce Ephemera Box,Nez-Pece-Timeline-from-before-1700-to-1956,,,,,,,,A one-page list of dates from before 1700 to 1956 of events significant to the Nez Perce,,Nez Perce File Drawers 1-3,Nez-Pece-Timeline-from-before-1700-to-1956,Nez Perce Ephemera,record,listing,eng,,
"Expelled in 1877, Indian Tribe is Now Wanted As a Resource",Timothy Egan,Nez Perce Ephemera Box,Expelled-in-1877-Indian-Tribe-is-Now-Wanted-As-a-Resource,,,,New York Times,,7/22/1996,The story of a partnership between Wallowa community leaders and Nez Perce leaders to purchase land on which to build a cultural center and long house outside the town of Wallowa.,Nez Perce War; Horses; indian-white relationships; Cultural Practices; Social Organization; Old Chief Joseph; Earl (Taz) Conner; Terry Crenshaw; Soy Redthunder,,Nez Perce File Drawers 1-3,Expelled-in-1877-Indian-Tribe-is-Now-Wanted-As-a-Resource,Nez Perce Ephemera,record,listing,eng,,
Compilation of references to “Indians”: 1898-2013,Elaine Dickenson,Nez Perce Ephemera Box,Compilation-of-references-to-Indians-1898-2013,,,,Wallowa County Chieftain,,,"A list of dates in which the Wallowa County Chieftain included an article about Indians, including the Nez Perce and other tribes.",Young Chief Joseph; Modocs; Nez Perce War; Old Chief Joseph,,Nez Perce File Drawers 1-3,Compilation-of-references-to-Indians-1898-2013,Nez Perce Ephemera,record,listing,eng,,
"Hete’ Wits Wetes, Precious Land ",,Nez Perce Ephemera Box,Hete-Wits-Wetes-Precious-Land-,,,,,,11/18/1997,"a Nez Perce Tribe implementation plan of a wildlife mitigation project involving 10,300 acres adjacent to northern border of Wallowa-Whitman National Historical Forest, (includes letter to Alvin Josephy)",Joseph Creek,,Nez Perce File Drawers 1-3,Hete-Wits-Wetes-Precious-Land-,Nez Perce Ephemera,record,listing,eng,,
The Circle of Friendship,Sidney Austin,Nez Perce Ephemera Box,The-Circle-of-Friendship,,,,,,1/17/2016,"Photo and letters by Sidney Austin, given the name Jackson Sundown by the National Museum of the American Indian.",Jackson Sundown,,Nez Perce File Drawers 1-3,The-Circle-of-Friendship,Nez Perce Ephemera,record,listing,eng,,
Caritas Chorale – Nez Perce: Promises,David Alan Earnest and Diane Josephy Peavey,Nez Perce Ephemera Box,Caritas-Chorale-Nez-Perce-Promises,,,,,,2012,A Chorale,Legends; indian-white relationships; Lewis and Clark; Missionaries; Treaties; Nez Perce War;,,Nez Perce File Drawers 1-3,Caritas-Chorale-Nez-Perce-Promises,Nez Perce Ephemera,record,listing,eng,,
Ethnohistory of the Joseph Band of Nez Perce Indians: 1805-1905,Verne Ray,Nez Perce Ephemera Box,Ethnohistory-of-the-Joseph-Band-of-Nez-Perce-Indians-1805-1905,,,,"Petitioner’s exhibit No. 75, Indian Claims Commission, Docket No. 186",,,"A treatise on the Joseph Band of the Nez Perce on the Colville Reservation, and an interpretation of their ethnology, and their treatment by the US.",indian-white relationships; Treaties; Nez Perce War; Chief Joseph; Ollokot; Nez Perce in Exile; Yellow Wolf; Old Chief Joseph; Lewis and Clark; Captain Bonneville; Chief Whitebird;,,Nez Perce File Drawers 1-3,Ethnohistory-of-the-Joseph-Band-of-Nez-Perce-Indians-1805-1905,Nez Perce Ephemera,record,listing,eng,,
"Smohalla, The Washani, and Religion as a Factor in Northwestern Indian History",Clifford Trafzer,Nez Perce Ephemera Box,Smohalla-The-Washani-and-Religion-as-a-Factor-in-Northwestern-Indian-History,,,,,,10/13/1983,"The life and story of Smohalla, a charismatic prophet of the Washani Dreamer religion, who formalized Plateau Indian rituals and ceremonies. He preached against White culture and religion after dying, going to the ""Land in the Sky,"" and returning twice. Given at the Western History Association in 1983.",Smohalla; Washani Religion; traditional beliefs; Missionaries; General Howard; Chief Stickus; Chief Owhi; Yakima Treaty of 1855; Dreamer Religion; Toohoolhoolzote; Husishusis Kute; Chief Joseph; Thomash; Homestead Act of 1874; Chief Big Thunder; Wolf Necklace; Yoyoni; Puck Hyah Toot; Indian Homestead Act; Nez Perce War; `.,,Nez Perce File Drawers 1-3,Smohalla-The-Washani-and-Religion-as-a-Factor-in-Northwestern-Indian-History,Nez Perce Ephemera,record,listing,eng,,
The Nez Perce,Deward Walker and Peter Jones,Nez Perce Ephemera Box,The-Nez-Perce,,,,,,,"A brief history of Nez Perce oral tradtiions, the Homeland, religion, food acquisition, social organiztion, Intertribal relations, and contact with Euro-Americans.",Legends; Nez Perce Villages; Social Organization; indian-white relationships; Nez Perce War; Nez Perce Homeland; Cultural Practices; Missionaries; Treaties; Allotment;,,Nez Perce File Drawers 1-3,The-Nez-Perce,Nez Perce Ephemera,record,listing,eng,,
Some Limitations of the Renascence Concept in Acculturation: The Nez Perce Case,Deward Walker,Nez Perce Ephemera Box,Some-Limitations-of-the-Renascence-Concept-in-Acculturation-The-Nez-Perce-Case,,,,"Midcontinent American Studies Journal, Vol. VI, No. 2, p.135; Chp: ""Shook the Hand of the White Chief.""",,1965,"A response to claims that Indians were enjoying a cultural renascence, concluding that it was uneven across religious, economic, the political culture of the Nez Perce, that some aspects were in consistent decline, and true renascences have been the subject of many disputes within the Tribe.",Social Organization; Nez Perce Language; Allotment; Other Tribes; Cultural Practices; Missionaries; Religion; Food; Governance;,,Nez Perce File Drawers 1-3,Some-Limitations-of-the-Renascence-Concept-in-Acculturation-The-Nez-Perce-Case,Nez Perce Ephemera,record,listing,eng,,
Historical Sketches of the Eagle Cap Wilderness,Jo Broadwel,Nez Perce Ephemera Box,Historical-Sketches-of-the-Eagle-Cap-Wilderness,,,,"Volumes 1 and II, Summer 1982-1983. Manuscript #0018.",,1982,Two volumes of traditional Nez Perce srories and essays about White people's experiences in the Eagle Cap Wilderness,Legends; Wallowa County; Snake Tribe; Mining; Gold. Old Chief Joseph; Sheep; Coyote Stories; William O. Douglas;,,Nez Perce File Drawers 1-3,Historical-Sketches-of-the-Eagle-Cap-Wilderness,Nez Perce Ephemera,record,listing,eng,,
"Wallowa, Land of Winding Waters",Peter Decker,Nez Perce Ephemera Box,Wallowa-Land-of-Winding-Waters,,,,"Unpublished Essay, June 1999. Manuscript #0020.",,,"A description of the writer's stay in the valley, the rivers, and the mountains of Wallowa County.",Wallowa County; Alvin Josephy; Chief Joseph; Ollokot; Wallowa Geography; Old Chief Joseph;,,Nez Perce File Drawers 1-3,Wallowa-Land-of-Winding-Waters,Nez Perce Ephemera,record,listing,eng,,
Nez Perce Fight an Old Battle Again,Mary C. Wood,Nez Perce Ephemera Box,Nez-Perce-Fight-an-Old-Battle-Again,,,,Eugene Register-Guard,,2/12/2004,A guest editorial regarding the plan to develop a residential subdivision next to Old Chief Joseph's grave at Wallowa Lake.,Old Chief Joseph; Wallowa County; Nez Perce Homeland,,Nez Perce File Drawers 1-3,Nez-Perce-Fight-an-Old-Battle-Again,Nez Perce Ephemera,record,listing,eng,,
Shook the Hand of the White Chief,Robert Bracken,Nez Perce Ephemera Box,Shook-the-Hand-of-the-White-Chief,,,,Asotin County Sentinal,,3/9/1984,"A letter or guest editorial describing the Nez Perce Chiefs, and areas within the Nez Perce homeland.",Chief Joseph; Chief Jason; Chief Timothy; Chief Lawyer; Chief Ucussin-American; Old Chief Joseph.,,Nez Perce File Drawers 1-3,Shook-the-Hand-of-the-White-Chief,Nez Perce Ephemera,record,listing,eng,,
Personal correspondence by an Indian Agent of the Nez Perce while they were in Oklahoma.,David Wilson Jordan,Nez Perce Ephemera Box,Personal-correspondence-by-an-Indian-Agent-of-the-Nez-Perce-while-they-were-in-Oklahoma-,,,,,,1880,"Photocopies of letters from the 1880s, belonging to the family of an Indian Agent of the Nez Perce, General Thomas J. Jordan, while he was in Indian Territory of Oklahoma. Includes correspondence between General Jordan's grandson and Alvin Josephy, along with excerpts of historical annual reports of the Department of the Interior on the Nez Perce and other tribes.",Exile; Sickness; Suicide; missionaries; James Reubens; Ponca Tribe; diseases; Sundance; Archie Lawyer; Chief Joseph; John Bull; Carlisle School,,Nez Perce File Drawers 1-3,Personal-correspondence-by-an-Indian-Agent-of-the-Nez-Perce-while-they-were-in-Oklahoma-,Nez Perce Ephemera,record,listing,eng,,
"The Nimiipu, After the War of 1877",Diane Neilson & Jo Proferes,Nez Perce Ephemera Box,The-Nimiipu-After-the-War-of-1877,,,,"Birch Hill Books; CHP: ""Last Council in the Wallowas"", ""Genee's News"", and ""Joseph's Last Visit to Wallowa.""
","Lewiston, Idaho",2003,A coloring book with stories of how the Nez Perce lived in exile.,Food; Cultural practices; Games; shelter; Jackson Sundown; Yellow Wolf; Young Chief Joseph; Sitting Bull; Nez Perce games; Sarah Moses; Wottolen; Red Grizzly Bear; Black Hair,,Nez Perce File Drawers 1-3,The-Nimiipu-After-the-War-of-1877,Nez Perce Ephemera,record,listing,eng,,
In The Wallowas,Caroline Wasson Thomason.,Nez Perce Ephemera Box,In-The-Wallowas,,,,Exposition Press,,1954,Excerpts from a novel with some actual events.,Young Chief Joseph; Wallowa County; A.C. Smith,,Nez Perce File Drawers 1-3,In-The-Wallowas,Nez Perce Ephemera,record,listing,eng,,
Numipu Among the White Settlers,Archie Phinney,Nez Perce Ephemera Box,Numipu-Among-the-White-Settlers,,,,Wicazo Sa Review,,2002,"An edited version of a manuscript written in 1936, that describes the effect of allotment on the Nimipuu, their land losses, and their claims to the US government for reimbursement.",indian-white relationships; Allotment; Treaties; Nez Perce Homeland; Bureau of Indian Affairs; Treaties; American Indian Federation,,Nez Perce File Drawers 1-3,Numipu-Among-the-White-Settlers,Nez Perce Ephemera,record,listing,eng,,
